@RELATION	Adult2Spammers
@ATTRIBUTE	att1	real
@ATTRIBUTE	att2	real
@ATTRIBUTE	att3	real
@ATTRIBUTE	att4	real
@ATTRIBUTE	att5	real
@ATTRIBUTE	class	{0,1}

@DATA
0.081,0.3614,0,12.9728,0.0124,1
0.0776,0.2723,0.0355,15.5959,0.0139,1
0.081,0.4104,0,8.0308,0.006,1
0.081,0.1684,0,4.3243,0.0036,1
0.049,0.1978,0.4914,1.3703,0.0015,0
0.0477,0.2497,0.4003,24.0048,0.0555,1
0.0558,0.2831,0.1755,8.3131,0.0087,1
0.1182,0.4547,0.376,3.627,0.0087,1
0.1424,0.2946,0.5456,8.4686,0.0446,0
0.1111,0.2519,0.6653,3.1374,0.0087,0
0.0002,0.156,0.4675,6.9641,0.0109,0
0.0834,0.2851,0.5762,2.8614,0.0075,1
0.2548,0.3903,0.6671,0.2113,0.0027,1
0.0612,0.2394,0.4817,14.6065,0.0193,1
0.1117,0.3552,0.4073,4.7257,0.0256,1
0.0618,0.1757,0.5053,9.754,0.0106,1
0.081,0.1054,0,0,0.0003,0
0.081,2.3026,0,0,0.0003,1
0.031,0.1294,0.3569,0.8263,0.0012,0
0.081,0.1054,0,0,0.0003,0
0.1683,0.1705,0.7875,0.4486,0.0057,0
0.0338,0.4621,0.6286,9.2623,0.0187,1
0.0849,0.3041,0.6554,2.397,0.0063,0
0.001,0.3133,0.2951,17.5748,0.0241,1
0.169,0.7193,0.83,0.4687,0.0012,1
0.044,0.3467,0.3892,17.6288,0.0301,1
0.069,0.2844,0.742,0.0885,0.0048,0
0.081,0.0963,0,0,0.0012,0
0.0803,0.3449,0.3154,11.0975,0.0184,1
0.1892,0.3446,0.5263,2.1496,0.0154,1
0.1338,0.2375,0.3154,0,0.0066,0
0.043,0.1597,0.6289,4.4755,0.0214,0
0.0009,0.4761,0.2015,8.0134,0.0145,1
0.101,0.1499,0.8267,0.114,0.006,0
0.256,0.2346,0.7988,0.9681,0.0109,0
0.0627,0.116,0.6519,2.9942,0.0121,0
0.149,0.3974,0.7141,0.3772,0.006,1
0.0642,0.2596,0.6804,5.3001,0.0241,0
0.05,0.155,0.3898,0,0.006,0
0.0644,0.1878,0.6753,10.7168,0.0311,0
0.1883,0.332,0.3478,0,0.0021,0
0.1289,0.2578,0.5733,1.2806,0.0066,1
0.2276,0.4738,0.5214,2.3798,0.0054,1
0.1036,0.1503,0.7577,0.4453,0.0039,0
0.0969,0.3328,0.4223,7.0554,0.0136,1
