@RELATION	DuckSpammers
@ATTRIBUTE	att1	real
@ATTRIBUTE	att2	real
@ATTRIBUTE	att3	real
@ATTRIBUTE	att4	real
@ATTRIBUTE	att5	real
@ATTRIBUTE	class	{0,1}

@DATA
0.0135,0.6613,0.124,31.0913,0.0167,1
0.0248,0.4634,0.1935,37.1462,0.025,1
0.049,0.4271,0.5917,3.8268,0.0083,0
0.1315,0.3307,0.4815,12.4561,0.0167,0
0.0552,0.3231,0.7414,15.4557,0.025,0
0.0659,0.3439,0.6773,22.1086,0.025,0
0.1838,0.3278,0.4068,22.4797,0.025,1
0.0704,0.4091,0.2473,32.8868,0.025,1
0.1467,0.4338,0.3371,26.6948,0.025,1
0.1051,0.3372,0.5692,32.0459,0.025,0
0.0518,0.3414,0.6496,18.5551,0.0208,0
0.0346,0.3342,0.6809,17.3909,0.025,0
0.0633,0.3269,0.6416,24.2505,0.025,0
0.0937,0.33,0.6626,26.3525,0.025,0
0.0048,0.3328,0.7306,7.5515,0.025,0
0.0283,0.4518,0.1307,42.9147,0.025,1
0.1085,0.7569,0.0353,45.0283,0.0208,1
0.1318,0.7214,0.008,62.1267,0.025,1
0.0096,0.3407,0.4908,14.5538,0.0125,0
0.1167,0.369,0.3018,29.0123,0.025,1
0.0287,0.4458,0.176,41.2835,0.025,1
0.0748,0.3918,0.2525,32.4992,0.025,1
0.0185,0.3365,0.6077,21.7396,0.025,0
0.0617,0.3327,0.518,21.805,0.025,0
0.0807,0.3814,0.5129,32.6039,0.025,0
0.049,0.3912,0.5731,16.9278,0.025,0
0.0953,0.3224,0.6508,23.3362,0.0208,0
0.0428,0.3428,0.623,7.6312,0.0167,0
0.1102,0.6461,0.0337,55.6469,0.025,1
0.0013,0.3165,0.6498,16.019,0.025,0
0.107,0.5115,0.2905,29.7865,0.025,1
0.054,0.4083,0.2124,33.2123,0.0208,1
0.0295,0.4211,0.2046,30.7681,0.0208,1
0.0413,0.4878,0.1201,38.3286,0.0208,1
0.1676,0.3315,0.3997,25.5962,0.025,1
0.0118,0.3501,0.5983,21.9513,0.025,0
0.0917,0.7154,0.0605,18.1165,0.0083,1
0.0947,0.3596,0.6291,17.6796,0.0167,0
0.1623,0.3119,0.3841,10.0579,0.0083,0
0.0807,0.3145,0.7327,10.406,0.0125,0
0.1094,0.3585,0.2474,23.8074,0.0167,1
0.0225,0.3393,0.5777,20.0931,0.0208,0
0.0682,0.5261,0.1791,29.2938,0.0167,1
0.1352,0.6039,0.0047,12.3067,0.0042,1
0.0495,0.3402,0.6084,11.9054,0.0125,0
0.0818,0.3554,0.5593,20.6636,0.0167,0
0.1015,0.3449,0.8836,5.6134,0.0125,0
0.0852,1.0965,0.7901,4.846,0.0042,1
0.0467,0.3686,0.799,1.5473,0.0083,0
0.1023,0.511,0.5504,2.9047,0.0042,0
0.0617,0.3196,0.3657,11.1947,0.0083,1
0.1623,0.4658,0.2947,3.702,0.0042,1
0.1085,0.2319,1,0,0.0042,0
