@RELATION	FEJ2013Spammers
@ATTRIBUTE	att1	real
@ATTRIBUTE	att2	real
@ATTRIBUTE	att3	real
@ATTRIBUTE	att4	real
@ATTRIBUTE	att5	real
@ATTRIBUTE	class	{0,1}

@DATA
0.0259,0.0413,0.4911,7.4213,0.042,0
0.021,0.0636,0.1164,23.6101,0.0768,1
0.0033,0.0684,0.3155,2.8249,0.0258,1
0.0126,0.0362,0.3916,9.9821,0.0434,0
0.0022,0.0534,0.403,6.3516,0.0486,0
0.0201,0.0203,0.3658,16.2894,0.0634,0
0.0261,0.0003,0.6184,3.2826,0.0131,0
0.0085,0.0475,0.4318,10.0889,0.051,0
0,0.0727,0.3035,4.807,0.019,1
0.0162,0.0326,0.222,6.554,0.0334,1
0.0064,0.0409,0.4617,5.719,0.0314,0
0.009,0.0431,0.3959,7.8246,0.0382,0
0.0124,0.0377,0.3044,7.2244,0.0345,1
0.0153,0.0876,0.0779,5.2719,0.0193,1
0.021,0.0487,0.1642,6.6117,0.0227,1
0.0109,0.048,0.3193,10.5533,0.0438,0
0.0253,0.0513,0.1312,6.7083,0.0269,1
0.016,0.0496,0.4568,2.9066,0.02,0
0.0238,0.0364,0.5694,2.5112,0.0138,0
0.0203,0.0573,0.1951,5.9492,0.0214,0
0.0005,0.0587,0.532,0.6373,0.0127,0
0.0028,0.0465,0.3502,6.7382,0.0289,1
0.0073,0.0479,0.3928,3.1013,0.0224,0
0.0493,0.0356,0.4959,1.2762,0.01,0
0.0063,0.029,0.6015,4.4258,0.0227,0
0.0097,0.0771,0.1873,4.1173,0.0134,1
0.001,0.078,0.1688,1.0695,0.0062,1
0.0275,0.058,0.4041,4.7146,0.0252,1
0.0197,0.0138,0.4943,7.8287,0.0327,0
0.0511,0.0378,0.4822,1.7425,0.0148,0
0.0255,0.0229,0.1404,6.6521,0.0196,0
0.0198,0.0527,0.1793,1.1888,0.0041,1
0.0223,0.0589,0.1171,4.8424,0.0155,1
0.0213,0.0781,0.4681,1.3694,0.009,1
0.022,0.1299,0.059,5.5036,0.02,1
0.0161,0.016,0.6039,2.1954,0.01,0
0.0443,0.151,0.1607,1.1716,0.0052,1
0.0268,-0,0,1.0291,0.0024,0
0.0202,0.0765,0.1263,3.6274,0.0127,1
0.0213,0.0701,0.2906,2.6271,0.0093,1
0.2232,-0,0.6657,0.0465,0.0007,0
0.0442,0.0688,0.4226,0.995,0.0059,1
0.0268,-0,0,0.8821,0.0021,0
0.0268,-0,0,0.5881,0.0014,0
0.0268,0.023,0,0.147,0.001,0
0.001,0.1597,0.233,0.474,0.0021,1
0.0268,0.023,0,0.4411,0.001,0
0.0268,-0,0,0.147,0.0003,0
