@RELATION	Income94Spammers
@ATTRIBUTE	att1	real
@ATTRIBUTE	att2	real
@ATTRIBUTE	att3	real
@ATTRIBUTE	att4	real
@ATTRIBUTE	att5	real
@ATTRIBUTE	class	{0,1}

@DATA
0.0507,0.385,0.4907,77.4173,0.0499,0
0.1546,0.3938,0.4351,31.6209,0.0197,0
0.1691,0.4125,0.3981,85.3587,0.05,0
0.1757,0.5737,0.0256,146.1356,0.05,1
0.11,0.3955,0.453,44.7935,0.0283,0
0.0412,0.3784,0.4125,61.9694,0.0353,0
0.079,0.4131,0.2773,105.3477,0.0498,0
0.0427,0.4076,0.3363,99.3909,0.05,0
0.0021,0.5076,0.147,119.6642,0.0494,1
0.0398,0.3997,0.3791,94.2531,0.05,0
0.0631,0.5135,0.0904,93.571,0.0363,1
0.1279,0.8911,0.0864,130.0972,0.0499,1
0.1789,0.6392,0,147.7445,0.0493,1
0.0605,0.4083,0.3503,98.1885,0.05,0
0.0283,0.4075,0.3576,41.7634,0.0216,0
0.054,0.4236,0.2241,53.9362,0.0232,0
0.0227,0.4069,0.317,65.7964,0.0325,0
0.0078,0.3844,0.5321,14.1299,0.0099,0
0.026,0.412,0.2959,87.2535,0.0412,0
0.1208,1.144,0.3716,30.6599,0.0183,1
0.0933,0.4731,0.2597,57.3953,0.0267,1
0.0896,0.8537,0.3617,22.6604,0.0128,1
0.0811,0.9276,0.2657,51.4199,0.0232,1
0.0246,0.3928,0.4454,56.9156,0.0347,0
0.0357,0.4213,0.2205,3.3792,0.0014,1
0.1212,1.0321,0.2728,49.0874,0.0225,1
0.1039,0.8897,0.1507,65.7111,0.0259,1
0.0989,0.4843,0.2498,30.9939,0.0137,1
0.0476,0.5376,0.0419,13.2196,0.0048,1
0.0546,0.3811,0.4759,28.7851,0.0183,0
0.151,0.5705,0,1,0.0003,1
0.0067,0.3109,0.8605,7.1517,0.0131,0
0.1458,0.4342,0.3498,21.2245,0.0118,1
0.0977,0.8131,0.1111,1.152,0.0004,1
0.0029,0.5518,0.2426,1.0688,0.0005,0
0.0029,0.6418,0.25,0.5926,0.0003,1
0.1823,0.5852,0.0018,0.9982,0.0003,1
0.1823,0.3011,0.4919,0.3609,0.0003,1
0.0496,0.4355,0.3124,4.3086,0.0024,0
0.0939,0.2689,0.6399,0.3575,0.0006,0
0.1823,0.1928,1,0,0.0002,0
0.0977,0.2292,1,0,0.0004,0
0.1071,0.3402,0.6011,2.599,0.0021,0
0.0623,0.3579,0.6199,0.8723,0.0008,0
0.1488,0.3488,0.3679,15.9374,0.0041,0
0.121,0.509,0.029,4.0288,0.0017,1
0.151,0.7985,0,0.5,0.0001,1
0.0623,0.2829,0.8946,0.117,0.0004,0
0.0721,0.3778,0.4712,2.3624,0.0018,0
0.0977,0.441,0.0626,1.1755,0.0004,1
0.0029,0.2396,0.2623,0.5877,0.0003,1
0.0772,0.4843,0.0256,4.2229,0.0014,1
0.0029,0.2338,0,0,0.0003,1
0.0977,0.9784,0.987,0.0054,0.0004,1
0.0623,0.5093,0.4062,0.7423,0.0004,1
0.0519,0.4092,0.1668,7.2282,0.0028,1
0.114,0.2318,0.9999,0.001,0.001,0
0.151,0.4308,0,0.5,0.0001,0
0.0623,0.3155,0.5593,0.386,0.0004,0
0.151,0.2877,0,0,0.0001,0
0.151,0.2877,0,0,0.0001,0
0.151,0.2231,0,0,0.0001,0
0.1823,0.3492,0.4268,0.5845,0.0003,1
0.151,0.2231,0,0,0.0001,0
0.0029,0.3906,0.9997,0.0004,0.0003,0
0.0939,0.6908,0.1837,1.0578,0.0006,1
0.1823,0.4954,0.9738,0,0.0002,0
0.151,0.5108,0,0.5,0.0001,0
0.151,0.9742,0,0,0.0002,1
0.0977,0.1811,1,0,0.0004,0
0.151,0.2231,0,0,0.0001,0
0.151,0.4308,0,0.5,0.0001,0
0.151,0.4308,0,0,0.0001,0
