@RELATION	Leaves6Spammers
@ATTRIBUTE	att1	real
@ATTRIBUTE	att2	real
@ATTRIBUTE	att3	real
@ATTRIBUTE	att4	real
@ATTRIBUTE	att5	real
@ATTRIBUTE	class	{0,1}

@DATA
0.1156,0.4438,0.3491,27.6995,0.0792,0
0.1184,0.5458,0.3514,36.7719,0.0969,0
0.0925,0.4831,0.3548,15.0204,0.0453,0
0.0864,0.4358,0.4485,25.6693,0.0885,0
0.1273,0.5498,0.3174,21.5011,0.0617,0
0.0564,0.7279,0.2771,3.5136,0.0081,1
0.1374,0.4935,0.4092,29.4793,0.0992,0
0.1042,0.5184,0.2307,11.1578,0.0253,0
0.1378,0.4866,0.376,26.2537,0.0768,0
0.0167,0.3977,0.4582,3.6047,0.0094,0
0.0117,0.4008,0.3706,6.3776,0.0138,0
0.0397,0.4159,0.7794,0.816,0.0031,0
0.0684,0.6255,0.3105,13.6791,0.0354,0
0.0351,0.5756,0.4565,3.6351,0.0125,0
0.0699,0.4927,0.3744,13.7508,0.0385,0
0.0119,0.7137,0.3526,5.0709,0.0122,0
0.0855,0.379,0.4515,4.7873,0.0135,0
0.012,0.2488,0.3166,0,0.0016,0
0.0531,0.4967,0.4853,2.3674,0.006,1
0.0894,0.3902,0.5541,2.4292,0.0112,0
0.1318,0.6043,0.3269,18.7124,0.049,0
0.0322,0.5595,0.4336,7.1504,0.0198,0
0.0908,0.3588,0.4667,0,0.0034,0
0.1381,0.6369,0.4204,2.6508,0.013,0
0.1609,0.8234,0.5634,1.7718,0.0068,0
0.1166,0.7473,0.279,5.7442,0.0174,0
0.1364,0.4372,0.8213,0.2891,0.0034,0
0.0084,0.5594,0.6666,1.6777,0.0047,0
0.0119,0.5188,0.7412,0.892,0.0031,0
0.0086,0.5269,0.6185,0,0.0029,0
0.159,0.5681,0.7537,0.3896,0.0029,0
0.0541,0.6023,0.1227,0,0.0021,0
0.0297,1.0139,0.3402,0,0.0031,0
0.0492,0.7794,0.4949,1.3234,0.0057,1
0.0517,0.6027,0.2297,5.7184,0.0135,0
0.0522,0.7175,0.5815,1.6273,0.0039,1
0.1987,0.7401,0.5468,1.2007,0.0036,0
0.0417,0.7354,0.7185,0.6209,0.0031,0
0.061,0.3536,0.6606,0.875,0.0063,0
0.2896,0.8715,0,0,0.0005,0
0.1111,0.2874,0.2,0,0.001,0
0.1481,0.3982,0.3488,5.1211,0.013,0
0.012,0.2335,0.5,0,0.0016,0
0.1564,1.0126,0.4131,1.2611,0.0036,1
0.1051,0.5815,0.6512,1.3382,0.0068,0
0.1244,1.1065,0.4799,0,0.0018,1
0.0594,0.3445,0.6645,0.5546,0.0044,0
0.109,0.7102,0.4668,1.3867,0.007,0
0.1449,0.9992,0.4438,0,0.0034,0
0.1092,0.6295,0.5036,0,0.0031,0
0.1051,0.3847,0.7515,0.984,0.0031,0
0.0189,0.1152,0.1667,0,0.0013,0
0.0898,0.4578,0.5045,0.2417,0.0042,0
0.0126,0.2542,0.4383,0,0.0029,0
0.1111,0.2275,0.3333,0,0.001,0
0.0189,1.1625,0.1704,0,0.0013,0
0.1111,0.5263,0.4519,0,0.001,0
0.1982,0.4791,0.2,0,0.0013,0
0.1789,0.3771,0.9031,0.0753,0.0026,0
0.2539,1.3976,0.1333,0,0.001,0
0.1244,0.7923,0.7167,0.1786,0.0018,0
0.1111,1.5151,0.4585,0,0.001,1
0.2261,1.0122,0.2667,0,0.0008,1
0.0932,1.0659,0.3997,0,0.0021,1
0.1389,0.811,0.2833,0,0.001,0
0.2896,1.6094,0,0,0.0003,1
0.0506,0.1428,0.4,0,0.0018,0
0.2261,1.2722,0.0167,0,0.0008,1
0.1111,0.9202,0.05,0,0.001,0
0.0506,1.5419,0.2833,0,0.0018,1
0.1125,0.5115,0.6,0,0.0026,0
0.1415,0.4389,0.717,0.8128,0.0023,0
0.1468,1.5505,0.0667,0,0.0005,0
0.173,0.0461,0.2,0,0.0018,0
0.1468,1.1269,0.0667,0,0.0005,0
0.2539,0.4723,0.0023,0,0.001,0
0.0039,1.4837,0.2,0,0.0008,0
0.0189,1.3215,0.3169,0,0.0013,1
0.2896,0.3499,0,0,0.0008,1
0.0039,0.4243,0.3327,0,0.0008,1
0.2261,0.292,0.2,0,0.0008,0
0.1111,1.5537,0.2167,0,0.001,1
0.1111,0.6446,0.3333,0,0.001,0
